Central_face,Forehead,Forehead_left,Forehead_right,Lower_lip,Nose,Peripheral_face
-0.803059274,-0.648706861,-0.516797203,-0.947757609,-1.153001219,-0.955795374,-0.745921167
-0.292947185,-0.005399023,0.254000458,0.181560825,-0.756231881,-0.579536835,-0.611366560
0.185766567,0.115020993,0.472109019,-0.120650389,-0.095270314,0.121568121,-0.180571730
0.603941519,0.399831742,0.676215333,0.337765157,0.027355307,0.616432314,-0.135787814
1.116122874,0.752272258,0.604616711,1.127325728,-0.147937861,0.757276801,0.905013595
0.852049799,1.010013408,1.080030936,1.199325540,-0.577493443,0.529379106,0.987937088
0.852725181,1.086001927,1.104543749,1.136176845,-0.486838146,0.734358511,1.102714230
0.894292302,1.006868336,0.713844509,1.073513977,0.121041073,0.877290201,1.064430842
1.083743785,1.208373891,1.364171243,1.032856081,0.955456871,1.486743506,1.419154377
0.732966547,0.985954601,0.838198838,1.088224829,0.449207791,1.003533231,0.863492033
0.816618112,0.644084640,0.648566365,0.808843567,1.138149465,0.970405367,0.693109775
0.780707426,0.515641781,0.389792864,0.666397483,1.219442224,0.599967478,0.874581839
0.664430671,0.889148965,0.986717110,0.677472663,0.881194460,0.616896546,0.563366916
0.429010372,0.434665768,0.179268962,0.868225865,0.333008548,0.476436059,0.259973738
0.287088223,0.246832831,0.288466241,-0.008043219,1.081225234,0.052584607,0.074373414
-0.023990180,0.042797105,0.197922269,-0.342372288,0.741726006,0.309152576,0.665710069
-0.371554577,-0.220311941,-0.225766069,-0.445071139,0.458263689,-0.164699844,-0.029556129
-0.478938714,-0.537973444,-0.083922504,-1.006477819,-0.041833332,-0.765708300,-0.456652406
-0.706787616,-0.638619670,-0.475040501,-1.237206184,-0.250585506,-0.582117060,-0.596286841
-0.883433869,-0.772200606,-0.955836896,-0.878892697,-0.287515498,-0.999405952,-0.509017892
-1.250791521,-0.823150038,-0.752647271,-0.803909955,-0.653190039,-0.733339052,-0.951803112
-1.347833682,-1.170615207,-1.516146117,-1.024751765,-0.564999170,-1.267585687,-1.092990229
-1.479207675,-1.362652248,-1.161321118,-1.476405652,-1.463935506,-1.366883166,-1.468696069
-1.746452579,-1.716194348,-1.562212206,-1.922079958,-1.141511705,-1.395947146,-1.562276821
-1.773836448,-1.461278770,-1.186806070,-1.698004685,-1.115102197,-1.674960301,-1.809936793
-1.532854725,-1.451052961,-1.477424240,-1.338189394,-0.345720506,-1.488849766,-1.145991890
-1.125785433,-0.990031947,-0.855112755,-0.818368197,0.178294812,-1.186165271,-0.499186182
-0.760783963,-0.786386538,-0.502648929,-0.916931702,0.733339446,-0.825226074,-0.587395460
-0.175455691,-0.378896631,-0.227490543,-0.674733239,1.033726724,-0.581682191,-0.049957758
0.441960992,0.233630026,0.404103045,0.302957406,1.316990305,0.269662258,0.884225183
0.663746310,0.524801295,0.573404294,0.484543424,1.207609860,1.164736446,0.690521819
0.966447503,0.522836341,0.519301233,0.447117955,0.730845446,1.207117122,0.820738019
1.187912051,0.815638279,0.598639144,0.825126298,1.355067486,1.111140534,0.863164774
1.204358632,0.907986394,0.966351595,0.992624434,0.886762547,1.407669621,1.051832209
0.720326777,0.923092026,1.053872633,0.472296550,0.070956828,0.722868469,0.547840826
0.701918112,0.899022393,1.075229555,0.654097097,0.200282490,1.465024431,0.338821358
0.631551589,0.846688642,0.959788648,0.658678156,0.045889171,0.927528374,0.502220370
0.843210188,0.806267635,0.867930464,0.478005012,1.358203614,0.582265634,0.597069017
0.570100267,0.641467267,0.610860592,0.432003158,0.645363763,0.466180056,-0.044949321
0.466480659,0.370009676,0.458772651,0.008799420,0.707866188,0.458296333,0.070414707
0.069050647,0.404425023,0.441443002,0.170767166,0.894236494,0.293371746,-0.077125836
0.065796454,0.108772048,-0.105658542,0.402845315,0.335982017,-0.035440444,-0.223185644
-0.141185424,0.106674117,0.018712837,0.009769093,0.134516159,-0.161141160,-0.461666977
-0.407809687,-0.077426245,-0.143707141,0.187000952,-0.222903027,0.112928326,-0.434430980
